"","(Intercept)","dbh","bal","ba","cr"
"ash",-0.00984913548367422,0.0600137642340231,0.0015018423699442,-0.00255705492239138,-0.00860416546859592
"aspen",-0.56347673687553,0.0668195368989711,-3.21760822168279e-05,0.000886817305996631,-0.010085056902795
"basswood",-0.0345610100602333,0.108249059915206,0.00760679794250893,-0.00667029481322884,-0.0131467765077788
"beech",-0.282560383861502,0.068188174157465,0.00635962746019394,-0.005527936530355,0.00137101016512309
"black cherry",-0.482906153790818,0.105037074963069,0.00390311525410517,-0.00234747091966444,-0.0164668306241732
"butternut",-8.40297906533401,0.0139623563850374,0.0164489851726296,0.0206221191749133,0.0937138019155274
"cedar",-0.363679787036593,0.056786327996884,0.001452856962428,-0.00074715527383953,-0.00499181905014706
"cottonwood",8.68073681166491,0.181112826488433,0.000507532905023484,-0.0297946492123989,-0.207258761558722
"elm",-0.529433625477856,0.0217795836207658,-0.00012358824200509,-0.00073696522239251,0.00845596145006631
"fir",-0.73889292725555,0.227159860125924,0.00357474542792253,-0.00410005640666715,-0.0245452214406401
"hard maple",0.0930943525683035,0.0367344224623589,0.00303554086713928,-0.00254923490135991,-0.00341892399523601
"hemlock",0.305000030311702,0.053279285015818,0.00146112146784445,-0.00255365495812792,-0.00801022391705091
"hickory",0.895677954906214,-0.0327043282683679,-0.000872839348797996,0.00414547795534102,-0.0266097606164054
"hophornbeam",-0.881995925557494,0.0809612069259869,0.0059688623947709,-0.00423604160220923,0.00588078955859348
"norway spruce",-5.20909295417609,0.507388437228242,0.01757225794716,-0.00512180672805092,-0.0134408435825379
"other hardwood",-1.0837177830036,0.0416938186531295,0.00145908579598035,0.00191510137241811,0.00222943263297736
"other softwood",-1.92267109326723,0.119811157714241,0.0111443999171097,-0.00505747199960049,0.0171028008750088
"paper birch",-0.886463837603572,0.081077330171269,0.0014360874836348,4.84142546792708e-07,0.000994165038002245
"red oak",-0.0972712959752157,0.0248661721298581,0.000231275600653697,-0.000914607363038253,0.000494612222001373
"red pine",0.995861891431606,0.149169913166914,0.0022132295133691,-0.00482091159014703,-0.0721962159453422
"scots pine",0.411743911736808,-0.0260323593534178,-0.0045264052979872,-0.00310471844860315,-0.0227559512408269
"soft maple",-0.0784102982117068,0.0580947712181361,0.00205994386079627,-0.00205899309683879,-0.0025622403036315
"spruce",-0.285542415641565,0.19052833960763,0.00486106860936999,-0.0051747757058085,-0.0264951289846995
"striped maple",-0.554801506349963,0.0103702630379208,0.00246308543217944,-0.00154530299135991,0.00488899533174729
"tamarack",-0.449047597268469,0.0925446874647429,-0.00222302884121469,0.000347208767301044,-0.0169797590564236
"white oak",0.835291583889477,0.101573836419741,0.00455402642004185,-0.00929339109153543,-0.0203300215603487
"white pine",-0.216298226159826,0.0948934386850575,0.00106860507753036,-0.00213507814970642,-0.023080747400338
"yellow birch",0.235050643758352,0.0478393492710708,0.0026951360056303,-0.00311640632130613,-0.0073854245336688
