"","b40","b41","b42","b43","b44","b45","b46","b47"
"ash",-8.31171206767477,-0.0298205150417295,1.88640286427021,-1.86879343568842,0.00104505281322158,-0.00134312065082342,0.0640359969806143,0.664458143739565
"aspen",-2.1727517876759,-0.00264820415266819,0.322993243305348,-4.31489787111515,-0.000445147917690913,-0.000346516642083369,-0.0161516063532173,0.510088816448798
"basswood",-3.98865789847422,-0.0405093271545147,1.81890223300338,-1.34935707634398,-0.000604354015842102,0.00604973685516358,-0.48000180748923,0.164799597044331
"beech",-5.32811095192512,-0.0385302269497894,1.41754180534223,-1.90993729886922,-0.000279998098883995,-0.000463182084296366,0.0965063450776812,0.358725392232361
"black cherry",-3.41791608012994,-0.0108389102239706,0.639369442504184,-2.60794597146688,-0.000543964312337427,-0.00156909972937679,0.178350085990667,0.320729152728813
"butternut",24.7792052369388,0.262319974491541,-14.44572059531,-10.825031552108,-0.00684949812273486,-0.0462687363239636,5.61275560294007,0.041054431001723
"cedar",-2.96488843315229,0.00621284746824523,0.401407536079532,-0.177602640957524,0.00115097776359294,-0.00126271774150761,0.0408638462886632,0.124802382701844
"cottonwood",-18.8879404856044,-0.0623709261470319,0.759518907870602,11.2781126737242,0.0220441479950943,0.0351980280376823,-0.511896956973446,3.88074311836852
"elm",-6.10091283462747,-0.0519955966619233,2.17268983860497,-4.24226095248109,-0.00204185691417723,0.0016034209477103,-0.0965398964693369,0.376741924360556
"fir",-4.27108377379935,-0.0239587870245904,0.855637825024815,-3.05428360105719,-0.000333711914683966,-0.000228601861169255,0.0389504889545146,0.609552106962665
"hard maple",-3.63406780818698,-0.0148101560006786,0.625257931592631,-0.18902989680005,0.000167337864179862,-1.101725754461e-05,0.0621013218124051,0.356576033307173
"hemlock",-3.34307679367167,-0.0139083053503442,0.574513074260273,-1.2142671075966,-0.000240490085458269,-0.00139657622562783,0.168967989599777,0.298153770323418
"hickory",5.78957490774588,0.0612925058004714,-2.26283534886023,-3.30878203428318,0.000617058717897666,-0.000356607772659905,0.0274017471318538,-0.00960949928020409
"hophornbeam",4.79781206991161,0.0705059961124958,-2.42152214418384,2.27289407166493,-0.000720643293657231,0.000850331009990679,0.0136357227047536,0.0651130070069559
"norway spruce",-6.9806569956623,-0.0166901582815087,0.184910785520766,-4.64387688810317,-0.00367685752050857,-0.00753121338490104,1.44742064530486,0.594155866811479
"other hardwood",-4.26894463685621,-0.018483655430227,0.883533253744663,-2.82685068539289,-0.00201807928987899,-0.00197675654639226,0.182082904584622,0.386264008837393
"other softwood",-1.48396443297495,0.00199661793651485,-0.191545670630602,-0.603992508099146,-0.00332175926383523,0.00370713967206381,0.203211997109807,0.198946947717709
"paper birch",-0.350456347957276,0.0160429722250482,-0.463053960021203,-2.73792058269093,-0.00042027319229289,-0.000478171962223894,-0.047916069828193,0.470827573380034
"red oak",0.581571098313564,0.00806796305045979,-0.474677869546692,-1.24895408439222,-0.000194296901006414,0.00302788546444034,-0.239529822986322,0.474747460381759
"red pine",0.213924357312773,0.0185152663756753,-1.66264757724097,-2.60409450549993,-0.000603966186353827,-0.00438146324884513,0.888949921617541,0.610209434050294
"scots pine",4.25842831772645,0.049065825474247,-1.18013051576589,1.11246418522077,0.00414835963813227,0.00465567169863397,-0.804578640869639,0.160311444344177
"soft maple",-1.66372281755454,-0.00183449199749401,0.148494062739007,-2.47148074424916,0.000214693445763933,0.000828891309925064,-0.0588666263346259,0.38342841480337
"spruce",-4.16902086748614,-0.0196791176335207,0.63696875519094,-0.90187875177639,-0.000240682482605742,0.000612908901875666,0.0286591212443472,0.589278446771083
"striped maple",-3.69515712039336,-0.0488778361265206,1.79637220373625,-5.09269496723523,-0.00128399988547817,0.00182120427211095,-0.151290821172585,0.000945868903529973
"tamarack",-12.6150230154782,-0.0541769713598936,2.55419410337625,-0.723187312696683,0.00314860637455555,-0.000726789884998909,0.270699345569819,1.07152828351104
"white oak",3.27160662898216,0.0433088714106023,-1.87785678926675,-3.00681933802293,-0.00331402061381335,-0.00363830796738807,0.256569887640757,0.411600431087143
"white pine",-1.77769045988286,-0.00735253739710134,0.353225784604265,-0.277027915714008,-9.49847071805337e-05,-0.000167959158153035,0.0392710778254036,0.209133903681105
"yellow birch",-1.34654311562178,-0.0049565861264916,0.0519565045441901,-1.284193611565,-0.000345165631642635,-0.000429119823558419,0.0923988274866046,0.258555433010844
